time,node,node_capacity,used_resources
0,pop0,10,0
0,pop1,50,0
0,pop2,0,0
0,pop3,10,0
0,pop4,0,0
0,pop5,0,0
0,pop6,0,0
0,pop7,0,0
0,pop8,0,0
0,pop9,10,0
0,pop10,0,0
0,pop11,10,0
0,pop12,10,0
0,pop13,10,0
0,pop14,0,0
0,pop15,10,0
0,pop16,0,0
0,pop17,10,0
0,pop18,0,0
0,pop19,10,0
0,pop20,0,0
0,pop21,0,0
0,pop22,0,0
0,pop23,0,0
0,pop24,0,0
0,pop25,0,0
0,pop26,10,0
0,pop27,0,0
0,pop28,0,0
0,pop29,0,0
0,pop30,10,0
0,pop31,50,0
0,pop32,50,0
0,pop33,10,0
0,pop34,0,0
0,pop35,10,0
0,pop36,0,0
0,pop37,0,0
0,pop38,0,0
0,pop39,0,0
0,pop40,10,0
0,pop41,0,0
0,pop42,10,0
0,pop43,0,0
0,pop44,10,0
0,pop45,0,0
0,pop46,10,0
0,pop47,0,0
0,pop48,0,0
0,pop49,0,0
0,pop50,0,0
0,pop51,0,0
0,pop52,0,0
0,pop53,10,0
0,pop54,0,0
0,pop55,10,0
0,pop56,0,0
0,pop57,10,0
100,pop0,10,0.0
100,pop1,50,26.0
100,pop2,0,0
100,pop3,10,9.0
100,pop4,0,0
100,pop5,0,0
100,pop6,0,0
100,pop7,0,0
100,pop8,0,0
100,pop9,10,2.0
100,pop10,0,0
100,pop11,10,9.0
100,pop12,10,5.0
100,pop13,10,8.0
100,pop14,0,0
100,pop15,10,0.0
100,pop16,0,0
100,pop17,10,1.0
100,pop18,0,0
100,pop19,10,10.0
100,pop20,0,0
100,pop21,0,0
100,pop22,0,0
100,pop23,0,0
100,pop24,0,0
100,pop25,0,0
100,pop26,10,5.0
100,pop27,0,0
100,pop28,0,0
100,pop29,0,0
100,pop30,10,0.0
100,pop31,50,31.0
100,pop32,50,8.0
100,pop33,10,6.0
100,pop34,0,0
100,pop35,10,4.0
100,pop36,0,0
100,pop37,0,0
100,pop38,0,0
100,pop39,0,0
100,pop40,10,6.0
100,pop41,0,0
100,pop42,10,3.0
100,pop43,0,0
100,pop44,10,2.0
100,pop45,0,0
100,pop46,10,10.0
100,pop47,0,0
100,pop48,0,0
100,pop49,0,0
100,pop50,0,0
100,pop51,0,0
100,pop52,0,0
100,pop53,10,10.0
100,pop54,0,0
100,pop55,10,8.0
100,pop56,0,0
100,pop57,10,4.0
200,pop0,10,1.0
200,pop1,50,39.0
200,pop2,0,0
200,pop3,10,8.0
200,pop4,0,0
200,pop5,0,0
200,pop6,0,0
200,pop7,0,0
200,pop8,0,0
200,pop9,10,6.0
200,pop10,0,0
200,pop11,10,5.0
200,pop12,10,4.0
200,pop13,10,4.0
200,pop14,0,0
200,pop15,10,4.0
200,pop16,0,0
200,pop17,10,7.0
200,pop18,0,0
200,pop19,10,4.0
200,pop20,0,0
200,pop21,0,0
200,pop22,0,0
200,pop23,0,0
200,pop24,0,0
200,pop25,0,0
200,pop26,10,2.0
200,pop27,0,0
200,pop28,0,0
200,pop29,0,0
200,pop30,10,4.0
200,pop31,50,26.0
200,pop32,50,34.0
200,pop33,10,8.0
200,pop34,0,0
200,pop35,10,5.0
200,pop36,0,0
200,pop37,0,0
200,pop38,0,0
200,pop39,0,0
200,pop40,10,10.0
200,pop41,0,0
200,pop42,10,8.0
200,pop43,0,0
200,pop44,10,4.0
200,pop45,0,0
200,pop46,10,7.0
200,pop47,0,0
200,pop48,0,0
200,pop49,0,0
200,pop50,0,0
200,pop51,0,0
200,pop52,0,0
200,pop53,10,9.0
200,pop54,0,0
200,pop55,10,1.0
200,pop56,0,0
200,pop57,10,6.0
